,SIGNGU_CD,성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
611,11200,F,20대,의류/잡화,9,8
612,11200,F,20대,자동차,14,14
613,11200,F,20대,전자상거래,3,2
614,11200,F,20대,주유,13,13
615,11200,F,30대,가전/가구,14,9
616,11200,F,30대,가정생활/서비스,5,5
617,11200,F,30대,교육/학원,11,7
618,11200,F,30대,미용,10,11
619,11200,F,30대,스포츠/문화/레저,8,8
620,11200,F,30대,여행/교통,6,6
621,11200,F,30대,요식/유흥,1,3
622,11200,F,30대,유통,2,2
623,11200,F,30대,음/식료품,7,12
624,11200,F,30대,의료,4,4
625,11200,F,30대,의류/잡화,9,10
626,11200,F,30대,자동차,13,14
627,11200,F,30대,전자상거래,3,1
628,11200,F,30대,주유,12,13
629,11200,F,40대,가전/가구,14,10
630,11200,F,40대,가정생활/서비스,5,5
631,11200,F,40대,교육/학원,12,6
632,11200,F,40대,미용,9,11
633,11200,F,40대,스포츠/문화/레저,7,9
634,11200,F,40대,여행/교통,8,7
635,11200,F,40대,요식/유흥,2,3
636,11200,F,40대,유통,1,2
637,11200,F,40대,음/식료품,6,12
638,11200,F,40대,의료,4,4
639,11200,F,40대,의류/잡화,11,8
640,11200,F,40대,자동차,13,14
641,11200,F,40대,전자상거래,3,1
642,11200,F,40대,주유,10,13
643,11200,F,50대,가전/가구,13,8
644,11200,F,50대,가정생활/서비스,5,5
645,11200,F,50대,교육/학원,14,14
646,11200,F,50대,미용,8,11
647,11200,F,50대,스포츠/문화/레저,7,6
648,11200,F,50대,여행/교통,10,7
649,11200,F,50대,요식/유흥,2,4
650,11200,F,50대,유통,1,1
651,11200,F,50대,음/식료품,6,9
652,11200,F,50대,의료,3,3
653,11200,F,50대,의류/잡화,11,10
654,11200,F,50대,자동차,12,13
655,11200,F,50대,전자상거래,4,2
656,11200,F,50대,주유,9,12
657,11200,F,60대,가전/가구,13,10
658,11200,F,60대,가정생활/서비스,4,5
659,11200,F,60대,교육/학원,14,14
660,11200,F,60대,미용,8,12
661,11200,F,60대,스포츠/문화/레저,9,8
662,11200,F,60대,여행/교통,11,9
663,11200,F,60대,요식/유흥,2,4
664,11200,F,60대,유통,1,1
665,11200,F,60대,음/식료품,6,6
666,11200,F,60대,의료,3,2
667,11200,F,60대,의류/잡화,10,7
668,11200,F,60대,자동차,12,13
669,11200,F,60대,전자상거래,5,3
670,11200,F,60대,주유,7,11
671,11200,F,70대이상,가전/가구,12,9
672,11200,F,70대이상,가정생활/서비스,5,5
673,11200,F,70대이상,교육/학원,14,13
674,11200,F,70대이상,미용,7,11
675,11200,F,70대이상,스포츠/문화/레저,8,8
676,11200,F,70대이상,여행/교통,11,10
677,11200,F,70대이상,요식/유흥,2,3
678,11200,F,70대이상,유통,1,1
679,11200,F,70대이상,음/식료품,4,6
680,11200,F,70대이상,의료,3,2
681,11200,F,70대이상,의류/잡화,9,7
